# Total column ozone and ozone profiles measured at Maitri, Antarctica.
# Station: Maitri (WOUDC station 400, GAW ID MTR), 70.45 S, 11.45 E, 330 m.
# Measured by: India Meteorological Department (IMD).
# Station operated by: National Centre for Polar and Ocean Research (NCPOR).
# Archived by: WMO Global Atmosphere Watch / World Ozone and Ultraviolet
#   Radiation Data Centre (WOUDC), https://woudc.org
# Retrieved from the WOUDC data registry API, https://api.woudc.org
# Free and unrestricted for scientific, educational and policy use, on the
# condition that the contributing agency (IMD) and the WOUDC are credited.
# Republished unmodified by NCPOR as part of the Indian Antarctic archive.
# Balloon-borne ozonesonde profiles. One row per measured level.
# Ozone partial pressure in millipascals; pressure in hectopascals.
flight_date_utc,level_index,pressure_hpa,temperature_c,o3_partial_pressure_mpa,flight_total_o3_du,correction_factor
1994-01-08,1,973,-2,1.2,,0
1994-01-08,2,926,-5,1.0,,0
1994-01-08,3,871,-10,0.7,,0
1994-01-08,4,760,-17,0.3,,0
1994-01-08,5,700,-25,0.3,,0
1994-01-08,6,561,-35,0.4,,0
1994-01-08,7,510,-40,0.8,,0
1994-01-08,8,500,-41,0.9,,0
1994-01-08,9,364,-58,0.9,,0
1994-01-08,10,324,-63,1.2,,0
1994-01-08,11,350,-65,1.2,,0
1994-01-08,12,304,-65,1.3,,0
1994-01-08,13,300,-65,1.1,,0
1994-01-08,14,290,-67,0.3,,0
1994-01-08,15,275,-66,2.8,,0
1994-01-08,16,256,-63,3.8,,0
1994-01-08,17,230,-59,4.7,,0
1994-01-08,18,210,-58,4.3,,0
1994-01-08,19,200,-56,3.3,,0
1994-01-08,20,198,-56,3.3,,0
1994-01-08,21,183,-55,4.6,,0
1994-01-08,22,178,-54,3.3,,0
1994-01-08,23,170,-54,4.3,,0
1994-01-08,24,168,-54,4.4,,0
1994-01-08,25,162,-54,3.1,,0
1994-01-08,26,150,-53,4.5,,0
1994-01-08,27,145,-53,4.3,,0
1994-01-08,28,140,-51,4.6,,0
1994-01-08,29,136,-51,5.6,,0
1994-01-08,30,126,-51,5.9,,0
1994-01-08,31,100,-50,9.4,,0
1994-01-08,32,94,-48,10.2,,0
1994-01-08,33,87.2,-46,10.6,,0
1994-01-08,34,79,-47,12.0,,0
1994-01-08,35,72,-47,12.9,,0
1994-01-08,36,70,-46,12.2,,0
1994-01-08,37,69,-45,12.3,,0
1994-01-08,38,62,-44,12.3,,0
1994-01-08,39,59,-45,12.8,,0
1994-01-08,40,52.4,-44,14.3,,0
1994-01-08,41,50,-43,14.8,,0
1994-01-08,42,45,-42,14.9,,0
1994-01-08,43,40,-42,14.6,,0
1994-01-08,44,34,-41,14.4,,0
1994-01-08,45,31.5,-41,13.0,,0
1994-01-08,46,30,-41,13.3,,0
1994-01-08,47,25.5,-41,15.4,,0
1994-01-08,48,19,-40,13.5,,0
1994-01-08,49,12.5,-40,10.4,,0
1994-01-08,50,8.5,-37,7.7,,0
1994-01-08,51,8,-37,9.0,,0
1994-01-08,52,5,-37,7.0,,0
1994-01-21,1,973,5,1.2,,1
1994-01-21,2,845,-10,1.1,,1
1994-01-21,3,700,-20,0.8,,1
1994-01-21,4,690,-28,0.8,,1
1994-01-21,5,510,-36,0.8,,1
1994-01-21,6,500,-38,0.8,,1
1994-01-21,7,490,-39,1.0,,1
1994-01-21,8,435,-43,0.7,,1
1994-01-21,9,340,-56,1.4,,1
1994-01-21,10,300,-62,1.4,,1
1994-01-21,11,288,-63,1.4,,1
1994-01-21,12,250,-56,4.1,,1
1994-01-21,13,220,-55,4.7,,1
1994-01-21,14,200,-53,4.7,,1
1994-01-21,15,195,-52,4.7,,1
1994-01-21,16,179,-51,4.4,,1
1994-01-21,17,166,-50,5.2,,1
1994-01-21,18,155,-51,5.2,,1
1994-01-21,19,150,-51,5.6,,1
1994-01-21,20,140,-50,6.2,,1
1994-01-21,21,125,-50,6.5,,1
1994-01-21,22,110,-49,7.4,,1
1994-01-21,23,100,-48,8.4,,1
1994-01-21,24,91,-46,9.4,,1
1994-01-21,25,90,-48,8.8,,1
1994-01-21,26,80,-46,10.5,,1
1994-01-21,27,73.5,-45,11.9,,1
1994-01-21,28,70,-45,12.5,,1
1994-01-21,29,65.2,-45,12.7,,1
1994-01-21,30,62,-43,12.6,,1
1994-01-21,31,55,-42,13.8,,1
1994-01-21,32,50,-42,14.5,,1
1994-01-21,33,43,-41,14.0,,1
1994-01-21,34,38,-41,13.5,,1
1994-01-21,35,33.5,-41,12.6,,1
1994-01-21,36,32.6,-41,12.6,,1
1994-01-21,37,30,-40,13.2,,1
1994-01-21,38,28.7,-41,13.2,,1
1994-01-21,39,25.5,-39,12.6,,1
1994-01-21,40,24,-39,11.3,,1
1994-01-21,41,20.8,-39,11.6,,1
1994-01-21,42,20,-38,11.8,,1
1994-01-21,43,18.2,-39,12.2,,1
1994-01-21,44,17.3,-38,12.0,,1
1994-01-21,45,16.3,-39,11.5,,1
1994-01-21,46,10.9,-36,8.2,,1
1994-01-21,47,10,-36,8.3,,1
1994-01-21,48,7,-33,7.8,,1
1994-01-21,49,5.1,-32,7.0,,1
1994-01-27,1,965,-4,0.1,,1
1994-01-27,2,900,-9,0.5,,1
1994-01-27,3,700,-25,0.3,,1
1994-01-27,4,640,-28,0.2,,1
1994-01-27,5,520,-38,0.3,,1
1994-01-27,6,500,-40,0.5,,1
1994-01-27,7,470,-41,0.8,,1
1994-01-27,8,448,-42,1.1,,1
1994-01-27,9,415,-46,0.7,,1
1994-01-27,10,360,-51,2.4,,1
1994-01-27,11,342,-52,2.1,,1
1994-01-27,12,322,-53,3.2,,1
1994-01-27,13,308,-52,3.5,,1
1994-01-27,14,300,-53,4.3,,1
1994-01-27,15,280,-52,5.3,,1
1994-01-27,16,250,-50,4.8,,1
1994-01-27,17,220,-49,4.3,,1
1994-01-27,18,200,-49,4.5,,1
1994-01-27,19,191,-47,4.5,,1
1994-01-27,20,174,-48,5.0,,1
1994-01-27,21,155,-47,5.0,,1
1994-01-27,22,150,-48,5.4,,1
1994-01-27,23,142,-48,6.0,,1
1994-01-27,24,127,-47,6.3,,1
1994-01-27,25,110,-46,8.1,,1
1994-01-27,26,100,-46,8.5,,1
1994-01-27,27,90,-45,8.8,,1
1994-01-27,28,88,-44,9.8,,1
1994-01-27,29,83,-43,11.1,,1
1994-01-27,30,73,-44,11.6,,1
1994-01-27,31,72,-44,12.4,,1
1994-01-27,32,70,-44,12.4,,1
1994-01-27,33,62.5,-43,12.7,,1
1994-01-27,34,60.5,-44,12.5,,1
1994-01-27,35,57,-43,12.5,,1
1994-01-27,36,55,-43,12.2,,1
1994-01-27,37,50,-42,11.1,,1
1994-01-27,38,45,-41,12.8,,1
1994-01-27,39,42,-41,12.3,,1
1994-01-27,40,38,-41,12.4,,1
1994-01-27,41,32.8,-40,11.3,,1
1994-01-27,42,30,-41,9.4,,1
1994-01-27,43,28,-40,8.7,,1
1994-01-27,44,23,-40,6.6,,1
1994-01-27,45,20,-38,6.1,,1
1994-01-27,46,19,-38,5.8,,1
1994-01-27,47,15,-37,4.8,,1
1994-01-27,48,12.8,-37,4.4,,1
1994-01-27,49,10,-36,4.2,,1
1994-01-27,50,5.2,-29,3.2,,1
1994-01-31,1,973,-7,5.4,,1
1994-01-31,2,700,-20,5.4,,1
1994-01-31,3,640,-24,5.5,,1
1994-01-31,4,580,-31,5.2,,1
1994-01-31,5,510,-35,4.9,,1
1994-01-31,6,500,-35,4.9,,1
1994-01-31,7,458,-38,4.2,,1
1994-01-31,8,348,-50,4.2,,1
1994-01-31,9,340,-51,4.5,,1
1994-01-31,10,300,-55,3.3,,1
1994-01-31,11,280,-60,3.6,,1
1994-01-31,12,258,-58,5.5,,1
1994-01-31,13,250,-58,5.4,,1
1994-01-31,14,229,-55,6.6,,1
1994-01-31,15,200,-52,6.7,,1
1994-01-31,16,175,-50,6.8,,1
1994-01-31,17,158,-50,7.1,,1
1994-01-31,18,150,-50,7.1,,1
1994-01-31,19,140,-48,7.7,,1
1994-01-31,20,130,-47,7.4,,1
1994-01-31,21,125,-50,7.4,,1
1994-01-31,22,119,-49,7.7,,1
1994-01-31,23,110,-49,7.4,,1
1994-01-31,24,105,-49,7.7,,1
1994-01-31,25,100,-47,10.7,,1
1994-01-31,26,97,-47,11.6,,1
1994-01-31,27,84,-47,12.1,,1
1994-01-31,28,81,-47,13.1,,1
1994-01-31,29,78,-47,13.4,,1
1994-01-31,30,72,-46,14.3,,1
1994-01-31,31,70,-46,14.3,,1
1994-01-31,32,68.8,-46,14.3,,1
1994-01-31,33,61,-45,13.7,,1
1994-01-31,34,55,-44,14.4,,1
1994-01-31,35,50,-44,13.8,,1
1994-01-31,36,46,-44,13.4,,1
1994-01-31,37,39.4,-44,11.5,,1
1994-01-31,38,31,-44,10.0,,1
1994-01-31,39,30,-43,9.7,,1
1994-01-31,40,27,-43,8.6,,1
1994-01-31,41,21,-41,8.1,,1
1994-01-31,42,20,-41,8.0,,1
1994-01-31,43,10,-40,7.3,,1
1994-01-31,44,5.2,-40,7.1,,1
1994-02-08,1,968,-8,2.8,,1
1994-02-08,2,700,-25,2.8,,1
1994-02-08,3,535,-37,3.0,,1
1994-02-08,4,500,-41,2.6,,1
1994-02-08,5,450,-46,1.9,,1
1994-02-08,6,400,-50,1.9,,1
1994-02-08,7,385,-52,2.2,,1
1994-02-08,8,350,-55,2.1,,1
1994-02-08,9,332,-55,3.0,,1
1994-02-08,10,320,-53,4.6,,1
1994-02-08,11,300,-52,4.9,,1
1994-02-08,12,272,-50,5.3,,1
1994-02-08,13,260,-51,5.3,,1
1994-02-08,14,250,-50,4.9,,1
1994-02-08,15,240,-50,4.8,,1
1994-02-08,16,230,-50,4.0,,1
1994-02-08,17,215,-50,5.0,,1
1994-02-08,18,200,-50,5.5,,1
1994-02-08,19,190,-49,5.2,,1
1994-02-08,20,180,-49,5.7,,1
1994-02-08,21,175,-50,5.5,,1
1994-02-08,22,170,-50,5.9,,1
1994-02-08,23,160,-50,5.4,,1
1994-02-08,24,150,-49,6.7,,1
1994-02-08,25,142,-49,7.0,,1
1994-02-08,26,132,-49,7.2,,1
1994-02-08,27,130,-49,7.9,,1
1994-02-08,28,120,-50,7.2,,1
1994-02-08,29,110,-49,8.7,,1
1994-02-08,30,105,-49,9.5,,1
1994-02-08,31,100,-49,9.3,,1
1994-02-08,32,95,-48,11.8,,1
1994-02-08,33,90.8,-48,12.2,,1
1994-02-08,34,86.5,-46,12.7,,1
1994-02-08,35,80,-46,12.7,,1
1994-02-08,36,75.5,-47,12.3,,1
1994-02-08,37,71.5,-46,12.9,,1
1994-02-08,38,70,-46,12.7,,1
1994-02-08,39,68,-46,12.6,,1
1994-02-08,40,66.5,-46,12.2,,1
1994-02-08,41,65,-46,12.4,,1
1994-02-08,42,58,-46,9.6,,1
1994-02-08,43,55,-46,8.2,,1
1994-02-08,44,52,-46,8.3,,1
1994-02-08,45,50,-45,7.8,,1
1994-02-08,46,48,-44,7.8,,1
1994-02-08,47,38,-43,5.1,,1
1994-02-08,48,35,-43,5.1,,1
1994-02-08,49,31,-40,5.3,,1
1994-02-08,50,30,-40,5.1,,1
1994-02-08,51,24.2,-37,4.8,,1
1994-02-08,52,20,-37,3.8,,1
1994-02-08,53,17,-36,3.4,,1
1994-02-23,1,978,-4,1.1,,1
1994-02-23,2,925,-8,1.1,,1
1994-02-23,3,730,-21,0.7,,1
1994-02-23,4,700,-22,0.7,,1
1994-02-23,5,680,-21,0.7,,1
1994-02-23,6,620,-21,0.7,,1
