# Total column ozone and ozone profiles measured at Maitri, Antarctica.
# Station: Maitri (WOUDC station 400, GAW ID MTR), 70.45 S, 11.45 E, 330 m.
# Measured by: India Meteorological Department (IMD).
# Station operated by: National Centre for Polar and Ocean Research (NCPOR).
# Archived by: WMO Global Atmosphere Watch / World Ozone and Ultraviolet
#   Radiation Data Centre (WOUDC), https://woudc.org
# Retrieved from the WOUDC data registry API, https://api.woudc.org
# Free and unrestricted for scientific, educational and policy use, on the
# condition that the contributing agency (IMD) and the WOUDC are credited.
# Republished unmodified by NCPOR as part of the Indian Antarctic archive.
# Column ozone and column sulphur dioxide in Dobson Units (DU).
# One row per observation day.
date_utc,column_o3_du,column_so2_du,n_observations,wavelength_code,observation_code,instrument
1999-09-14,161,1,7,0,0,Brewer MKIV #153
1999-09-15,158,1,9,0,0,Brewer MKIV #153
1999-09-16,180,1,7,0,0,Brewer MKIV #153
1999-09-17,171,1,9,0,0,Brewer MKIV #153
1999-09-19,208,1,9,0,0,Brewer MKIV #153
1999-09-20,232,1,9,0,0,Brewer MKIV #153
1999-09-21,195,1,9,0,0,Brewer MKIV #153
1999-09-22,171,3,1,0,0,Brewer MKIV #153
1999-09-23,169,1,11,0,0,Brewer MKIV #153
1999-09-24,157,1,9,0,0,Brewer MKIV #153
1999-09-25,145,3,5,0,0,Brewer MKIV #153
1999-09-26,146,1,13,0,0,Brewer MKIV #153
1999-09-27,155,1,16,0,0,Brewer MKIV #153
1999-09-28,170,1,14,0,0,Brewer MKIV #153
1999-09-29,165,1,16,0,0,Brewer MKIV #153
1999-09-30,151,1,13,0,0,Brewer MKIV #153
1999-10-01,166,1,13,0,0,Brewer MKIV #153
1999-10-02,150,2,9,0,0,Brewer MKIV #153
1999-10-03,145,1,13,0,0,Brewer MKIV #153
1999-10-04,167,1,9,0,0,Brewer MKIV #153
1999-10-05,187,1,3,0,0,Brewer MKIV #153
1999-10-06,165,1,21,0,0,Brewer MKIV #153
1999-10-07,153,1,19,0,0,Brewer MKIV #153
1999-10-08,140,1,19,0,0,Brewer MKIV #153
1999-10-09,138,1,21,0,0,Brewer MKIV #153
1999-10-10,138,1,20,0,0,Brewer MKIV #153
1999-10-11,154,1,20,0,0,Brewer MKIV #153
1999-10-12,153,1,17,0,0,Brewer MKIV #153
1999-10-13,156,1,9,0,0,Brewer MKIV #153
1999-10-14,151,1,20,0,0,Brewer MKIV #153
1999-10-15,157,2,20,0,0,Brewer MKIV #153
1999-10-16,161,2,20,0,0,Brewer MKIV #153
1999-10-17,155,1,20,0,0,Brewer MKIV #153
1999-10-21,143,1,21,0,0,Brewer MKIV #153
1999-10-22,146,1,28,0,0,Brewer MKIV #153
1999-10-23,152,1,4,0,0,Brewer MKIV #153
1999-10-28,136,3,9,0,0,Brewer MKIV #153
1999-10-29,137,2,16,0,0,Brewer MKIV #153
1999-10-31,142,2,14,0,0,Brewer MKIV #153
1999-11-10,139,1,12,0,0,Brewer MKIV #153
1999-11-11,138,2,19,0,0,Brewer MKIV #153
1999-11-12,169,2,18,0,0,Brewer MKIV #153
1999-11-13,169,2,25,0,0,Brewer MKIV #153
1999-11-14,165,2,26,0,0,Brewer MKIV #153
1999-11-16,154,2,26,0,0,Brewer MKIV #153
1999-11-17,154,2,26,0,0,Brewer MKIV #153
1999-11-18,159,2,38,0,0,Brewer MKIV #153
1999-11-20,223,2,30,0,0,Brewer MKIV #153
1999-11-22,216,2,5,0,0,Brewer MKIV #153
1999-11-23,206,2,21,0,0,Brewer MKIV #153
1999-11-24,189,2,31,0,0,Brewer MKIV #153
1999-11-25,175,2,10,0,0,Brewer MKIV #153
1999-11-26,169,2,34,0,0,Brewer MKIV #153
1999-11-27,212,2,18,0,0,Brewer MKIV #153
1999-11-28,192,2,36,0,0,Brewer MKIV #153
1999-11-29,187,2,35,0,0,Brewer MKIV #153
1999-11-30,190,2,31,0,0,Brewer MKIV #153
1999-12-01,174,2,33,0,0,Brewer MKIV #153
1999-12-02,170,2,40,0,0,Brewer MKIV #153
1999-12-04,167,2,39,0,0,Brewer MKIV #153
1999-12-05,171,2,37,0,0,Brewer MKIV #153
